date,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
10.06.2023 03:00,26.0,747.1,750.8,74.0,从西南偏南方向吹来的风,1,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 02:30,26.0,747.1,750.8,74.0,从西方吹来的风,2,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 02:00,26.0,747.9,751.6,74.0,从西方吹来的风,1,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 01:30,26.0,747.9,751.6,74.0,从西南方吹来的风,1,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 01:00,27.0,747.9,751.6,70.0,无风,0,,,,无明显的云,10.0 大于等于,21.0
10.06.2023 00:30,27.0,747.9,751.6,74.0,从西南偏西方向吹来的风,1,,,,无明显的云,10.0 大于等于,22.0
10.06.2023 00:00,28.0,747.9,751.6,79.0,风向多变,1,,,,无明显的云,10.0 大于等于,24.0
09.06.2023 23:30,27.0,747.9,751.6,84.0,无风,0,,,,无明显的云,10.0 大于等于,24.0
09.06.2023 23:00,27.0,747.9,751.6,79.0,无风,0,,,,无明显的云,10.0 大于等于,23.0
09.06.2023 22:30,27.0,748.6,752.3,79.0,从东方吹来的风,1,,,,无明显的云,10.0 大于等于,23.0
09.06.2023 22:00,29.0,748.7,752.3,66.0,从东方吹来的风,3,,,,无明显的云,10.0 大于等于,22.0
09.06.2023 21:30,29.0,748.7,752.3,70.0,从东南偏东方向吹来的风,1,,,,无明显的云,10.0 大于等于,23.0
09.06.2023 21:00,29.0,748.0,751.6,70.0,从东南偏东方向吹来的风,3,,,,无明显的云,10.0 大于等于,23.0
09.06.2023 20:30,29.0,748.0,751.6,70.0,从东方吹来的风,2,,,,无明显的云,10.0 大于等于,23.0
09.06.2023 20:00,29.0,748.0,751.6,70.0,从东方吹来的风,3,,,,无明显的云,10.0 大于等于,23.0
09.06.2023 19:30,31.0,748.0,751.6,49.0,从东南偏南方向吹来的风,2,,,,无明显的云,10.0 大于等于,19.0
09.06.2023 19:00,31.0,748.0,751.6,49.0,从西南偏南方向吹来的风,1,,,,无明显的云,10.0 大于等于,19.0
09.06.2023 18:30,32.0,747.2,750.8,49.0,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,20.0
09.06.2023 18:00,33.0,747.2,750.8,44.0,从南方吹来的风,3,,,,无明显的云,10.0 大于等于,19.0
09.06.2023 17:30,33.0,747.2,750.8,44.0,从南方吹来的风,3,,,,无明显的云,10.0 大于等于,19.0
09.06.2023 17:00,34.0,747.2,750.8,39.0,从南方吹来的风,3,,,,少云 (10-30%) 600 米,10.0 大于等于,18.0
09.06.2023 16:30,34.0,747.2,750.8,39.0,从东南方吹来的风,2,,,,少云 (10-30%) 600 米,10.0 大于等于,18.0
09.06.2023 16:00,34.0,747.2,750.8,44.0,风向多变,2,,,,少云 (10-30%) 600 米,10.0 大于等于,20.0
09.06.2023 15:30,34.0,747.2,750.8,47.0,风向多变,2,,,,少云 (10-30%) 600 米,10.0 大于等于,21.0
09.06.2023 15:00,34.0,748.0,751.6,49.0,从西南方吹来的风,3,,,,少云 (10-30%) 600 米,10.0 大于等于,22.0
09.06.2023 14:30,34.0,748.0,751.6,47.0,风向多变,1,,,,少云 (10-30%) 600 米,10.0 大于等于,21.0
09.06.2023 14:00,34.0,748.0,751.6,47.0,从东北方吹来的风,2,,,,少云 (10-30%) 600 米,10.0 大于等于,21.0
09.06.2023 13:30,34.0,748.7,752.3,44.0,风向多变,1,,,,少云 (10-30%) 600 米,10.0 大于等于,20.0
09.06.2023 13:00,34.0,748.7,752.3,47.0,风向多变,2,,,,少云 (10-30%) 600 米,10.0 大于等于,21.0
09.06.2023 12:30,34.0,748.7,752.3,44.0,风向多变,1,,,,少云 (10-30%) 600 米,10.0 大于等于,20.0
09.06.2023 12:00,33.0,749.5,753.1,52.0,从西北方吹来的风,3,,,,少云 (10-30%) 600 米,10.0 大于等于,22.0
09.06.2023 11:30,33.0,749.5,753.1,52.0,从东南偏东方向吹来的风,2,,,,少云 (10-30%) 600 米,10.0 大于等于,22.0
09.06.2023 11:00,32.0,749.5,753.1,49.0,风向多变,1,,,,少云 (10-30%) 600 米,10.0 大于等于,20.0
09.06.2023 10:30,32.0,750.3,753.9,52.0,从东南偏南方向吹来的风,2,,,,少云 (10-30%) 600 米,10.0 大于等于,21.0
09.06.2023 10:00,31.0,750.3,753.9,59.0,风向多变,1,,,,少云 (10-30%) 600 米,10.0 大于等于,22.0
09.06.2023 09:30,30.0,750.3,753.9,66.0,风向多变,2,,,,无明显的云,10.0 大于等于,23.0
09.06.2023 09:00,29.0,750.2,753.9,70.0,从西方吹来的风,3,,,,少云 (10-30%) 900 米,10.0 大于等于,23.0
09.06.2023 08:30,28.0,750.2,753.9,74.0,从西方吹来的风,3,,,,少云 (10-30%) 900 米,10.0 大于等于,23.0
09.06.2023 08:00,27.0,750.2,753.9,84.0,从西南偏西方向吹来的风,4,,,,无明显的云,8,24.0
09.06.2023 07:30,27.0,750.2,753.9,84.0,从西南偏西方向吹来的风,3,,,,无明显的云,8,24.0
09.06.2023 07:00,25.0,750.2,753.9,94.0,从西南偏西方向吹来的风,3,,,,无明显的云,7,24.0
09.06.2023 06:30,25.0,750.2,753.9,94.0,从西方吹来的风,2,,,,无明显的云,7,24.0
09.06.2023 06:00,24.0,750.2,753.9,100.0,从西南偏西方向吹来的风,2,,,,无明显的云,6,24.0
09.06.2023 05:30,24.0,749.4,753.1,100.0,从西南方吹来的风,2,,,,无明显的云,6,24.0
09.06.2023 05:00,24.0,749.4,753.1,100.0,从西南方吹来的风,3,,轻雾,,无明显的云,5,24.0
09.06.2023 04:30,24.0,749.4,753.1,94.0,从西南偏西方向吹来的风,2,,,,无明显的云,6,23.0
09.06.2023 04:00,25.0,749.4,753.1,94.0,从西南方吹来的风,2,,,,无明显的云,7,24.0
09.06.2023 03:30,25.0,750.2,753.9,94.0,从西南方吹来的风,2,,,,无明显的云,7,24.0
09.06.2023 03:00,25.0,750.2,753.9,94.0,从西南方吹来的风,2,,,,无明显的云,7,24.0
09.06.2023 02:30,25.0,750.2,753.9,94.0,从西南偏西方向吹来的风,2,,,,无明显的云,8,24.0
09.06.2023 02:00,25.0,750.2,753.9,94.0,从西南方吹来的风,2,,,,无明显的云,8,24.0
09.06.2023 01:30,25.0,750.2,753.9,94.0,从西南偏西方向吹来的风,2,,,,无明显的云,8,24.0
09.06.2023 01:00,25.0,750.2,753.9,94.0,从西南偏西方向吹来的风,2,,,,无明显的云,10.0 大于等于,24.0
09.06.2023 00:30,25.0,750.2,753.9,94.0,从西南方吹来的风,2,,,,无明显的云,10.0 大于等于,24.0
09.06.2023 00:00,25.0,750.2,753.9,94.0,无风,0,,,,无明显的云,10.0 大于等于,24.0
08.06.2023 23:30,25.0,750.2,753.9,94.0,从西南方吹来的风,1,,,,无明显的云,10.0 大于等于,24.0
08.06.2023 23:00,26.0,750.2,753.9,89.0,风向多变,1,,,,无明显的云,10.0 大于等于,24.0
08.06.2023 22:30,26.0,750.2,753.9,89.0,风向多变,1,,,,无明显的云,10.0 大于等于,24.0
08.06.2023 22:00,26.0,750.2,753.9,89.0,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,24.0
08.06.2023 21:30,26.0,750.2,753.9,84.0,从南方吹来的风,1,,,,无明显的云,10.0 大于等于,23.0
08.06.2023 21:00,27.0,750.2,753.9,79.0,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,23.0
08.06.2023 20:30,27.0,750.2,753.9,79.0,风向多变,1,,,,无明显的云,10.0 大于等于,23.0
08.06.2023 20:00,27.0,750.2,753.9,79.0,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,23.0
08.06.2023 19:30,27.0,750.2,753.9,79.0,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,23.0
08.06.2023 19:00,28.0,749.4,753.1,74.0,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,23.0
08.06.2023 18:30,28.0,749.4,753.1,70.0,从东南偏南方向吹来的风,2,,,,无明显的云,10.0 大于等于,22.0
08.06.2023 18:00,29.0,749.4,753.1,66.0,从南方吹来的风,2,,,,少云 (10-30%) 600 米,10.0 大于等于,22.0
08.06.2023 17:30,29.0,749.4,753.1,66.0,从南方吹来的风,2,,,,疏云 (40-50%) 600 米,10.0 大于等于,22.0
08.06.2023 17:00,29.0,749.4,753.1,66.0,从南方吹来的风,2,,,,疏云 (40-50%) 600 米,10.0 大于等于,22.0
08.06.2023 16:30,30.0,749.5,753.1,62.0,从西南方吹来的风,2,,,,疏云 (40-50%) 600 米,10.0 大于等于,22.0
08.06.2023 16:00,30.0,749.5,753.1,59.0,风向多变,1,,,,疏云 (40-50%) 600 米,10.0 大于等于,21.0
08.06.2023 15:30,30.0,749.5,753.1,59.0,无风,0,,,,疏云 (40-50%) 600 米,10.0 大于等于,21.0
08.06.2023 15:00,30.0,749.5,753.1,62.0,风向多变,1,,,,疏云 (40-50%) 600 米,10.0 大于等于,22.0
08.06.2023 14:30,30.0,749.5,753.1,66.0,风向多变,2,,,,少云 (10-30%) 600 米,10.0 大于等于,23.0
08.06.2023 14:00,29.0,750.2,753.9,70.0,从南方吹来的风,2,,,,少云 (10-30%) 600 米,10.0 大于等于,23.0
08.06.2023 13:30,28.0,750.2,753.9,74.0,从西南偏南方向吹来的风,2,,,,少云 (10-30%) 600 米,10.0 大于等于,23.0
